Acanthamoeba polyphaga mimivirus	NC_014649
Acanthamoeba polyphaga moumouvirus	NC_020104
Aedes taeniorhynchus iridescent virus	NC_008187
African swine fever virus	NC_001659
Amsactamoorei entomopoxvirus	NC_002520
Autographa californica nucleopolyhedrovirus	NC_001623
Bathycoccus RCC1105 virus	NC_014765
Cafeteria roenbergensis virus	NC_014637
Culex nigripalpus NPV	NC_003084
Ectocarpus siliculosus virus1	NC_002687
Emiliania huxleyi virus86	NC_007346
Feldmannia species virus	NC_011183
Human herpesvirus 1	NC_001806
Human herpesvirus 6A	NC_001664
Infectious spleen and kidneynecrosis virus	NC_003494
Lausannevirus	NC_015326
Lym-phocystis disease virus china	NC_005902
Mamestra configurata NPV-A	NC_003529
Marseillevirus	NC_013756
Megaviruschilensis	NC_016072
Megavirus lba	NC_020232
Melanoplus sanguinipes entomopoxvirus	NC_001993
Micromonas RCC1109 MpV1	NC_014767
Myxoma virus	NC_001132
Neodiprionabietis NPV	NC_008252
Orf virus	NC_005336
Ostreococcus lucimarinus virus OlV1	NC_014766
Ostreococcus tauri virus1	NC_013288
Ostreococcus virusOsV5	NC_010191
Pandoravirus dulcis	NC_021858
Pandoravirus inopinatum	NC_026440
Pandoravirus salinus	NC_022098
Paramecium bursaria Chlorellavirus1	NC_000852
Phaeocystis globosa virus	NC_021312
Pithovirus sibericum	NC_023423
Rodent herpesvirus Peru	NC_015049
Spodoptera litura granulovirus	NC_009503
Wiseanairidescent virus	NC_015780
Aureococcus anophagefferens virus	NC_024697
